SYMBOL,YEAR,MIN,MAX,MEAN,STD_DEV
ADVANTA,2014,101,370,231.088,99.86687267
AEGISCHEM,2010,185,522,310.9283,81.80724379
AEGISCHEM,2011,104,338,225.9838,54.08337899
AEGISCHEM,2012,106,203,149.5789,24.12049799
AEGISCHEM,2014,143,466,263.4155,102.3637014
AFL,2010,46,69,50.5318,4.038167003
AFL,2011,34,51,42.1457,3.545398475
AFL,2012,28,39,34.1093,2.144618142
AFL,2014,41,122,60.3248,22.65604165
AFTEK,2010,13,24,15.5344,2.109472783
AFTEK,2011,9,18,12.8057,1.773251622
AFTEK,2012,7,14,9.2794,1.563403192
AFTEK,2014,3,5,3.8448,0.738164642
AGARIND,2014,81,169,110.119,24.83584428
AGCNET,2010,211,269,243.9658,14.69946154
AGCNET,2011,105,249,162.7126,30.26793918
AGCNET,2012,125,460,263.7692,103.9080847
AGCNET,2014,47,97,65.7394,12.47909778
AGRE,2011,29,66,44.75,6.515581795
AGRE,2012,27,38,32.8182,3.815475231
AGRODUTCH,2010,15,36,23.297,6.168565712
AGRODUTCH,2011,5,16,9.3707,2.635428775
AGRODUTCH,2012,4,7,4.6621,0.711918861
AGRODUTCH,2014,1,6,2.6337,1.096554209
AHLEAST,2010,338,481,405.2,35.45222137
AHLEAST,2011,226,360,300.3237,20.77749692
AHLEAST,2012,211,327,253.938,28.86747077
AHLEAST,2014,128,257,176.7872,35.93370738
AHLUCONT,2010,136,241,201.6096,22.70332979
AHLUCONT,2011,53,155,114.3927,22.6410922
AHLUCONT,2012,33,84,54.3198,15.42222656
AHLUCONT,2014,23,229,103.7254,61.92591489
AHLWEST,2010,208,421,273.1635,51.8656012
AHLWEST,2011,115,222,178.5385,29.30845207
AHLWEST,2012,115,147,131.3887,5.771873817
AHLWEST,2014,94,138,108.9645,9.15075577
AHMEDFORGE,2010,70,190,125.1952,22.11896793
AHMEDFORGE,2011,80,166,117.0891,17.19429814
AHMEDFORGE,2012,87,192,141.9433,19.19379185
AHMEDFORGE,2014,98,475,263.331,123.4500368
AIAENG,2010,324,456,388.4861,29.48716388
AIAENG,2011,270,422,342.3684,35.79595083
AIAENG,2012,269,389,339.3806,24.58318331
AIAENG,2014,461,1190,758.4155,201.7130944
AICHAMP,2010,30,47,38.2958,3.426879524
AIL,2012,363,425,398.9741,16.98044576
AIL,2014,312,627,465.4859,88.62873472
AJANTPHARM,2010,115,264,200.1554,36.51419744
AJANTPHARM,2011,177,359,275.5992,52.72698453
AJANTPHARM,2012,302,762,480.7004,130.8777875
AJANTPHARM,2014,896,2703,1440.5915,492.9497468
AJMERA,2010,143,289,200.5618,37.1969986
AJMERA,2011,94,221,144.7206,28.6217638
AJMERA,2012,98,143,114.6262,7.84311516
AJMERA,2014,48,160,80.9412,29.40710888
AKSHOPTFBR,2010,13,28,20.5378,2.550205396
AKSHOPTFBR,2011,6,16,7.5024,2.225406272
AKSHOPTFBR,2012,7,19,13.3692,3.709596277
AKSHOPTFBR,2014,14,25,18.44,2.695626087
AKZOINDIA,2010,586,960,820.9091,80.74928037
AKZOINDIA,2011,700,1023,844.7004,81.31161208
AKZOINDIA,2012,772,968,871.0607,47.60643686
AKZOINDIA,2014,761,1401,1044.662,208.2100743
ALBK,2010,128,265,186.1434,41.93558125
ALBK,2011,115,235,186.5506,27.06829849
ALBK,2012,117,208,152.1417,22.51675404
ALBK,2014,73,147,108.9577,19.85931975
ALCHEM,2010,158,261,193.9044,31.50170458
ALCHEM,2011,102,273,236.1174,24.73778234
ALCHEM,2012,50,97,61.4008,8.106407681
ALCHEM,2014,30,66,46.4859,7.738449744
ALEMBICLTD,2010,44,77,55.8805,9.34389767
ALEMBICLTD,2011,14,73,32.7975,21.9958069
ALEMBICLTD,2012,14,21,16.3846,1.241100365
ALEMBICLTD,2014,12,60,28.3239,13.97812642
ALFALAVAL,2010,1152,1501,1342.494,78.86290341
ALFALAVAL,2011,1121,2355,1695.3684,377.0377158
ALFALAVAL,2012,2199,3947,3235.6029,567.8989953
ALICON,2011,61,71,66.0667,2.885981443
ALICON,2012,56,80,64.7807,5.128624131
ALICON,2014,67,322,149.7594,61.34006656
ALKALI,2010,72,139,107.0398,14.2794536
ALKALI,2011,28,78,48.0648,10.78178167
ALKALI,2012,24,39,28.8219,3.757940012
ALKALI,2014,15,27,19.6992,2.976057245
ALKYLAMINE,2010,66,116,85.2996,9.572191073
ALKYLAMINE,2011,76,100,85.572,4.384958605
ALKYLAMINE,2012,77,159,109.5792,25.02835857
ALKYLAMINE,2014,220,735,391.5072,141.0766184
ALLCARGO,2010,143,204,170.6414,13.47296675
ALLCARGO,2011,119,181,151.2348,14.0537402
ALLCARGO,2012,110,149,130.668,7.893721517
ALLCARGO,2014,118,350,208.331,61.91267383
ALLSEC,2010,32,52,40.232,5.039310344
ALLSEC,2011,11,38,20.6275,6.968329975
ALLSEC,2012,10,49,20.112,10.53088106
ALLSEC,2014,21,36,27.1085,3.20909635
ALMONDZ,2010,41,80,62.4741,9.196955514
ALMONDZ,2011,12,47,27.1317,6.526232601
ALMONDZ,2012,7,14,9.7851,2.334458408
ALMONDZ,2014,6,23,13.1146,4.868841819
ALOKTEXT,2010,18,33,22.7291,3.27709526
ALOKTEXT,2011,16,29,22.3077,3.3756783
ALOKTEXT,2012,11,23,16.4534,3.68343187
ALOKTEXT,2014,6,16,10.331,2.668865431
ALPA,2010,12,19,15.6415,1.655116021
ALPA,2011,6,16,9.9431,1.974639261
ALPA,2012,7,13,8.8465,1.099451961
ALPHAGEO,2010,159,260,196.5657,20.82134835
ALPHAGEO,2011,54,177,105.3119,26.84911877
