SYMBOL,YEAR,MIN,MAX,MEAN,STD_DEV
DONEAR,2012,14,23,17.3766,1.877090229
DONEAR,2014,9,25,15.1261,4.644604029
DPL,2014,69,90,83.3158,5.974089947
DPSCLTD,2010,621,3260,1178.316,631.610741
DPSCLTD,2011,13,2782,1845.6098,487.1612834
DPSCLTD,2012,12,19,15.4696,1.614110687
DPSCLTD,2014,13,28,17.3028,3.642452039
DPTL,2010,163,235,190.9018,18.96423317
DPTL,2011,101,195,144.2753,19.67110948
DPTL,2012,100,126,112.3522,4.835913336
DPTL,2014,88,184,123.4508,19.6594375
DQE,2011,19,49,33.6439,7.177545558
DQE,2012,18,29,22.3684,2.709612283
DQE,2014,17,48,29.3028,6.028090858
DRDATSONS,2014,10,76,30.6831,23.88775681
DREDGECORP,2010,412,741,562.9841,59.52139581
DREDGECORP,2011,188,449,300.3603,64.2028961
DREDGECORP,2012,219,309,259.2551,20.28430829
DREDGECORP,2014,211,541,370.1479,97.5771235
DRREDDY,2010,1083,1842,1403.6494,205.9095762
DRREDDY,2011,1412,1716,1567.3765,59.96726448
DRREDDY,2012,1543,1884,1690.4656,69.53487627
DRREDDY,2014,2310,3628,2808.1901,314.0544927
DSKULKARNI,2010,54,87,69.8765,5.515343074
DSKULKARNI,2011,48,65,56.166,3.601728292
DSKULKARNI,2012,51,86,63.2632,8.097556671
DSKULKARNI,2014,52,104,71.9014,15.96620986
DSSL,2011,5,8,5.6842,0.861616081
DSSL,2012,4,9,4.9363,1.104025804
DSSL,2014,2,15,4.6136,3.142204706
DTIL,2010,143,185,159.7554,8.442647584
DUNCANSIND,2010,11,24,16.347,2.712751531
DUNCANSIND,2011,7,22,14.5721,3.241183073
DUNCANSIND,2012,9,13,10.3299,1.123522163
DUNCANSLTD,2014,14,25,16.4516,2.360135448
DWARKESH,2010,51,124,86.49,18.33277225
DWARKESH,2011,29,104,59.7976,17.69533877
DWARKESH,2012,31,50,41.1099,4.74517727
DWARKESH,2014,22,47,34.3162,5.729888012
DYNACONS,2010,1,1,1,0
DYNACONS,2011,1,1,1,0
DYNAMATECH,2010,917,1312,1091.6694,107.9076458
DYNAMATECH,2011,962,1547,1206.8583,162.3512467
DYNAMATECH,2012,602,1001,752.3899,117.4869085
DYNAMATECH,2014,502,2431,1429.0533,748.1029857
DYNASYS,2011,1,2,1.0079,0.088732856
DYNATECH,2012,1,3,1.7778,0.553328871
DYNATECH,2014,0,3,1.2222,1.030402055
EASTSILK,2010,11,19,14.1116,1.497509877
EASTSILK,2011,4,13,7.5268,2.231812606
EASTSILK,2012,3,6,3.5117,0.668614492
EASTSILK,2014,1,3,2.0128,0.66974143
EASUNREYRL,2010,86,144,110.6135,13.87673595
EASUNREYRL,2011,49,121,79.5,16.27929071
EASUNREYRL,2012,49,80,62.4279,7.224316685
EASUNREYRL,2014,43,94,65.9203,10.85281076
ECEIND,2010,123,276,169.6813,40.90697356
ECEIND,2011,69,130,108.1411,11.61470011
ECEIND,2012,72,142,114.9083,10.06359711
ECEIND,2014,79,184,105.8855,17.72764315
ECLERX,2010,425,751,558.8566,83.97473621
ECLERX,2011,604,852,726.83,63.85696498
ECLERX,2012,581,889,718.0567,55.61526334
ECLERX,2014,1029,1408,1226.1479,82.11242269
EDELWEISS,2010,43,590,291.0637,196.148218
EDELWEISS,2011,22,48,32.7976,5.530145045
EDELWEISS,2012,27,45,32.1498,3.414340732
EDELWEISS,2014,27,62,42.784,12.43066145
EDL,2010,108,171,131.5657,15.15204026
EDL,2011,53,133,96.9514,17.02123192
EDL,2012,55,90,70.4696,6.83036868
EDL,2014,32,57,42.7676,5.903765202
EDSERV,2010,150,298,217.1594,31.56360968
EDSERV,2011,40,177,117.3239,31.97747747
EDSERV,2012,13,49,25.0452,10.51980496
EDUCOMP,2010,450,789,619.251,81.22574875
EDUCOMP,2011,174,544,355.8866,110.8342824
EDUCOMP,2012,130,257,173.2348,28.74263719
EDUCOMP,2014,23,40,29.4805,3.956288401
EICHERMOT,2010,519,1424,944.7052,262.303299
EICHERMOT,2011,1004,1743,1345.0445,190.7784449
EICHERMOT,2012,1481,2907,2109.7976,316.0562644
EICHERMOT,2014,4418,15432,8532.7324,3241.535451
EIDPARRY,2010,263,549,400.1833,60.13151489
EIDPARRY,2011,184,282,226.7166,21.63444565
EIDPARRY,2012,168,249,204.8826,19.93202976
EIDPARRY,2014,120,241,182.3732,37.63943264
EIHAHOTELS,2010,113,246,148.297,24.93706606
EIHAHOTELS,2011,128,200,152.1174,15.17076818
EIHAHOTELS,2012,111,173,143.8381,14.68888178
EIHAHOTELS,2014,120,256,174.1268,34.10358272
EIHOTEL,2010,105,151,126.1673,8.761326673
EIHOTEL,2011,76,117,88.2065,7.604193824
EIHOTEL,2012,69,92,80.1255,5.430871908
EIHOTEL,2014,55,130,86.6197,20.09019535
EIMCOELECO,2010,220,388,270.54,36.4376783
EIMCOELECO,2011,148,314,213.4504,35.69706709
EIMCOELECO,2012,146,218,176.5917,13.77084161
EIMCOELECO,2014,155,170,160.75,4.943429983
EKC,2010,88,158,123.2191,13.37252762
EKC,2011,25,103,74.0607,17.27370624
EKC,2012,24,45,31.1963,4.397193779
EKC,2014,10,23,16.1,2.353720459
ELDERPHARM,2010,300,435,368.9044,27.63231156
ELDERPHARM,2011,340,412,373.8462,13.15220057
ELDERPHARM,2012,274,432,325.5385,30.11754197
ELDERPHARM,2014,109,257,196.7254,27.11092092
ELECON,2010,71,100,84.8765,7.227981075
ELECON,2011,52,85,69.3968,6.322352035
ELECON,2012,40,68,53.3401,5.674516227
ELECON,2014,25,67,45.4789,11.92684173
ELECTCAST,2010,36,55,46.8606,4.376740188
ELECTCAST,2011,16,42,29.3441,4.990577757
ELECTCAST,2012,17,28,20.8057,2.960380805
ELECTCAST,2014,13,36,22.6479,6.775262776
ELECTHERM,2010,245,395,308.757,20.99460899
ELECTHERM,2011,84,277,175.9581,42.80059896
ELECTHERM,2012,43,97,64.4329,16.09693619
ELECTHERM,2014,14,32,22.3293,4.477735921
ELFORGE,2010,21,36,25.6782,2.585263032
ELFORGE,2011,8,23,12.4492,3.130217563
ELFORGE,2012,7,10,7.674,0.807117709
ELFORGE,2014,5,10,7.1053,1.483052927
ELGIEQUIP,2010,79,206,122.5498,34.74242888
ELGIEQUIP,2011,65,98,78.5385,8.683686743
ELGIEQUIP,2012,64,96,79.6599,6.313481879
ELGIEQUIP,2014,86,171,115.7958,22.03439652
ELGIRUBBER,2010,8,14,9.3267,1.340766201
ELGIRUBBER,2011,9,10,9.1667,0.372677996
ELGIRUBCO,2011,18,28,23.1412,2.714462101
ELGIRUBCO,2012,18,29,21.3765,2.117962322
ELGIRUBCO,2014,20,41,27.5177,5.770557254
ELNET,2010,47,81,61.132,7.40395678
ELNET,2011,25,56,36.2427,6.076886964
ELNET,2012,27,53,35.5983,4.281863619
ELNET,2014,35,78,47.9518,10.94003768
EMAMIINFRA,2010,33,105,53.1545,11.92795522
EMAMIINFRA,2011,17,49,31.9609,6.923656418
EMAMIINFRA,2012,17,34,21.118,2.419842616
EMAMIINFRA,2014,15,40,26.8241,7.065603567
EMAMILTD,2010,357,873,557.6534,121.4107454
EMAMILTD,2011,341,518,422.9271,41.3447385
EMAMILTD,2012,327,622,475.7611,76.86317058
EMAMILTD,2014,431,802,562.8592,125.4015293
EMCO,2010,58,107,76.9283,12.51973886
EMCO,2011,28,70,53.2834,10.50277811
EMCO,2012,25,42,29.9069,2.834759877
EMCO,2014,23,47,34.24,6.821612713
EMKAY,2010,71,115,87.9239,9.933730084
EMKAY,2011,30,81,50.3862,9.661825184
EMKAY,2012,20,47,28.5481,5.806792786
EMKAY,2014,13,56,29.5579,15.93454756
EMMBI,2010,14,29,18.7917,2.711109688
EMMBI,2011,11,18,13.8259,1.192951923
EMMBI,2012,11,16,12.8122,1.012903012
EMMBI,2014,9,17,12.6338,2.363093202
EMPEESUG,2010,60,80,65.7255,3.926173767
EMPEESUG,2011,11,77,37.3927,23.45612727
EMPEESUG,2012,6,15,10.2737,1.962763119
EMPEESUG,2014,4,7,5.0299,0.732408606
ENERGYDEV,2010,40,78,55.6452,10.64675313
ENERGYDEV,2011,24,52,37.1296,4.421997941
ENERGYDEV,2012,23,45,30.5466,4.678841415
ENERGYDEV,2014,15,30,18.903,3.238917737
ENGINERSIN,2010,313,2537,933.9801,859.9157257
ENGINERSIN,2011,199,342,268.9352,30.96942227
ENGINERSIN,2012,204,283,237.7045,17.06826317
ENGINERSIN,2014,145,325,231.7465,51.16370256
ENIL,2010,184,259,221.3307,15.8995294
ENIL,2011,199,289,241.5142,17.06663535
ENIL,2012,197,261,223.5992,16.13145892
ENIL,2014,327,525,414.2394,52.50056064
ENKEI,2010,84,125,100.7551,10.40185216
ENTEGRA,2010,27,48,33.4382,4.867893361
ENTEGRA,2011,12,33,23.1942,4.315378354
ENTEGRA,2012,7,15,10.3457,2.032353467
EON,2012,21,38,26.5465,5.299532618
EON,2014,19,49,25.2406,7.026427424
EONELECT,2011,33,67,51.1222,11.70358708
EONELECT,2012,34,59,39.7215,5.390889429
ERAINFRA,2010,197,241,218.4223,10.52207603
ERAINFRA,2011,137,216,172.6883,20.20071309
ERAINFRA,2012,115,145,138.004,3.308066421
ERAINFRA,2014,4,30,15.2957,5.685945928
EROSMEDIA,2010,151,198,175.7541,13.94327588
EROSMEDIA,2011,126,272,185.5263,42.22484537
EROSMEDIA,2012,156,224,183.0445,17.91551361
EROSMEDIA,2014,142,366,220.3873,59.84873522
ESABINDIA,2010,531,659,579.0279,24.65755945
ESABINDIA,2011,423,589,495.8745,32.63198732
ESABINDIA,2012,424,558,476.2429,37.47611521
ESABINDIA,2014,420,734,551.296,99.52061286
ESCORTS,2010,119,239,182.1594,30.09967674
ESCORTS,2011,65,184,106.0202,28.63287788
ESCORTS,2012,56,91,68.7773,6.683338712
ESCORTS,2014,106,170,128.7535,14.41741251
ESL,2010,9,11,10.4407,0.695535069
ESL,2011,4,10,7.6802,1.656459315
ESL,2012,5,9,6.413,1.083326977
ESL,2014,3,8,4.9348,1.050924519
ESSAROIL,2010,116,160,136.3386,8.623652996
ESSAROIL,2011,47,142,105.7409,24.73776776
ESSAROIL,2012,47,72,57.5789,6.578769228
ESSAROIL,2014,46,129,89.6884,29.69355581
ESSARPORTS,2011,49,116,75.3309,16.69539173
ESSARPORTS,2012,51,105,86.2024,12.46206853
ESSARPORTS,2014,49,108,77.4437,18.66250464
ESSARSHIP,2010,65,130,85.6292,12.60585028
ESSARSHIP,2011,71,114,94.2609,9.206412658
ESSARSHPNG,2011,17,26,21.1739,3.12983086
ESSARSHPNG,2012,19,34,28.1741,2.111769765
ESSARSHPNG,2014,14,26,19.7744,3.096484889
ESSDEE,2010,349,528,468.1793,48.0760906
ESSDEE,2011,121,488,324.081,120.8199112
ESSDEE,2012,116,393,185.7854,68.99937298
ESSDEE,2014,348,734,540.5986,108.9484346
ESSELPACK,2010,39,60,47.5936,4.033993899
ESSELPACK,2011,24,61,41.6194,7.770552406
ESSELPACK,2012,25,45,34.6559,4.198394231
ESSELPACK,2014,47,135,89.2324,27.46230848
ESTER,2011,20,49,31.8333,8.106457085
ESTER,2012,16,28,19.1741,2.789159299
ESTER,2014,10,30,18.3663,5.847437913
ETC,2010,197,283,252.0417,17.90362898
EUROCERA,2010,32,64,49.0942,5.611096638
EUROCERA,2011,10,38,25.3184,5.844755641
EUROCERA,2012,8,15,9.1353,1.418364805
EUROCERA,2014,4,10,5.7391,1.686709978
EUROMULTI,2010,22,35,28.745,3.280803319
EUROMULTI,2011,5,24,11.4534,4.654550068
EUROMULTI,2012,4,7,4.9388,0.934774081
EUROMULTI,2014,1,3,1.8182,0.935966376
EUROTEXIND,2010,21,45,32.6089,5.459174631
EUROTEXIND,2011,17,34,24.5726,4.444671038
EUROTEXIND,2012,16,25,19.7783,2.040468124
EUROTEXIND,2014,16,33,23.7879,4.206831211
EVEREADY,2010,51,80,64.3267,6.884132444
EVEREADY,2011,23,55,41.5466,8.042703479
EVEREADY,2012,17,30,21.9732,3.469149292
EVEREADY,2014,41,192,95.0926,46.15905213
EVERESTIND,2010,149,279,219.4143,36.98965659
EVERESTIND,2011,107,209,148.4453,16.77585166
EVERESTIND,2012,107,260,177.7126,40.22591019
EVERESTIND,2014,138,309,207.08,61.47241333
EVERONN,2010,337,738,509.3825,123.466809
EVERONN,2011,243,702,492.7692,111.7066692
EVERONN,2012,129,467,207.4696,64.19837431
EVERONN,2014,32,59,42.225,6.787810766
EVINIX,2010,2,6,3.3984,0.703319853
EVINIX,2011,1,2,1.135,0.341690805
EXCELCROP,2010,137,333,222.2311,48.85153529
EXCELCROP,2011,118,294,185.8907,49.90193008
EXCELCROP,2012,96,229,138.668,38.37312959
EXCELCROP,2014,490,1282,823.188,264.5587499
EXCELINDUS,2010,42,121,81.004,24.51595107
EXCELINDUS,2011,54,92,73.1992,8.837567593
EXCELINDUS,2012,55,89,71.7439,7.679787073
EXCELINDUS,2014,63,404,182.9014,117.390363
EXCELINFO,2010,37,63,46.7251,5.246145188
EXCELINFO,2011,10,47,23.6761,10.41528172
EXCELINFO,2012,16,29,23.2194,3.031775871
EXCELINFO,2014,17,25,21.156,2.311416865
EXIDEIND,2010,105,178,136.9402,21.08246978
EXIDEIND,2011,102,173,140.3806,16.86289397
EXIDEIND,2012,108,163,135.7004,9.663116981
EXIDEIND,2014,101,179,142.1479,24.08814424
FACT,2010,40,70,51.5618,5.101282094
FACT,2011,20,54,37.8016,7.001237413
FACT,2012,23,37,29.6842,2.649091526
FACT,2014,19,45,28.7746,6.975201917
FAGBEARING,2010,510,940,689.4104,144.1971141
FAGBEARING,2011,763,1373,1073.0324,176.6628544
FAGBEARING,2012,1039,1822,1534.9514,175.7126544
FAGBEARING,2014,1525,3609,2422.5493,594.0297875
FAME,2010,32,84,76.5096,12.8839098
FAME,2011,34,93,50.7831,10.66979544
FAME,2012,43,73,49.9053,7.062240116
FARMAXIND,2010,14,44,31.2604,8.216148722
FARMAXIND,2011,1,14,4.3806,2.597278801
FARMAXIND,2012,1,2,1.2105,0.407682457
FARMAXIND,2014,1,1,1,0
FCEL,2014,5,14,8.3028,2.711450515
FCH,2010,146,296,197.3876,35.10851979
FCH,2011,104,196,147.3158,16.02823526
FCH,2012,115,225,145.8696,19.07013223
FCSSOFT,2010,1,16,4.8964,4.011590167
FCSSOFT,2011,0,2,0.9595,0.321906905
FCSSOFT,2012,0,1,0.1643,0.370565019
FCSSOFT,2014,0,1,0.1207,0.325766269
FDC,2010,65,113,90.9283,11.92284445
FDC,2011,78,111,95.4049,8.466536695
FDC,2012,76,98,83.004,4.522993863
FDC,2014,116,165,138.4507,12.55723654
FEDDERLOYD,2010,72,112,92.7291,9.115806003
FEDDERLOYD,2011,51,96,71.9393,10.00689824
FEDDERLOYD,2012,43,66,52.8988,4.941958518
FEDDERLOYD,2014,28,90,59.7394,18.30865245
FEDERALBNK,2010,236,496,340.7849,71.13620801
FEDERALBNK,2011,327,470,395.664,36.35381181
FEDERALBNK,2012,337,540,432.6802,35.86556843
FEDERALBNK,2014,74,150,111.7394,23.16130806
FIEMIND,2010,89,212,145.2749,33.33399924
FIEMIND,2011,143,177,157.1619,6.804238459
FIEMIND,2012,134,203,158.1215,17.46371093
FIEMIND,2014,328,842,535.1901,150.4177251
FILATEX,2011,26,48,39.775,4.245512337
FILATEX,2012,27,40,33.5593,3.158368955
FILATEX,2014,11,37,21.1099,9.07532647
FINANTECH,2010,803,1683,1319.3944,220.0089454
FINANTECH,2011,525,919,771.1174,90.25697894
FINANTECH,2012,534,1197,818.0405,171.613557
FINANTECH,2014,180,403,269.5141,54.54326825
FINCABLES,2010,47,69,55.247,4.467984946
FINCABLES,2011,24,56,43.1781,7.268188672
FINCABLES,2012,30,62,40.1012,7.560409784
FINCABLES,2014,76,272,170.5845,63.23143751
FINPIPE,2010,53,128,84.1833,21.16371112
FINPIPE,2011,42,106,75.4008,15.02754823
FINPIPE,2012,46,71,58.3603,5.082689195
FINPIPE,2014,150,338,249.0141,56.86616186
FIRSTLEASE,2010,49,94,64.1912,11.39560632
FIRSTLEASE,2011,50,107,77.0243,13.00324691
FIRSTLEASE,2012,47,70,54.83,5.454581813
FIRSTWIN,2010,21,49,29.4608,6.953164844
FIRSTWIN,2011,13,26,18.1055,3.137067666
FIRSTWIN,2012,9,17,11.2793,2.288518822
FIRSTWIN,2014,4,7,4.8182,0.715818898
FKONCO,2010,104,187,134.1753,17.65046717
FKONCO,2011,83,142,107.7692,13.02129153
FKONCO,2012,79,174,107.8907,25.15072367
FKONCO,2014,132,133,132.5,0.5
FLEXITUFF,2011,159,291,246.9796,32.63433136
FLEXITUFF,2012,185,367,240.5951,40.211461
FLEXITUFF,2014,207,258,229.6901,12.33121717
FLFL,2014,60,106,82.5,13.28970267
FMGOETZE,2010,101,198,149.5139,21.23935883
FMGOETZE,2011,141,296,223.9109,40.29597183
FMGOETZE,2012,196,331,233.0813,33.99966368
FMGOETZE,2014,176,428,250.0141,70.0801338
FMNL,2012,22,35,27.5764,2.699723123
FMNL,2014,9,15,11.89,1.660692627
FORTIS,2010,135,184,157.1992,10.78881667
FORTIS,2011,82,171,143.1984,20.29392116
FORTIS,2012,84,117,102.5951,5.693064952
FORTIS,2014,93,130,108.5493,9.885668575
FOSECOIND,2010,343,500,427.6371,42.18189007
FOSECOIND,2011,406,603,513.8898,49.98448839
FOSECOIND,2012,536,784,626.4494,49.51837337
FOSECOIND,2014,492,1350,730.9014,231.1779788
FOURSOFT,2010,18,28,22.213,1.940431479
FOURSOFT,2011,7,21,13.9643,3.258231334
FOURSOFT,2012,7,21,9.3165,3.208155367
FRL,2014,75,145,106.5986,20.91870915
FRLDVR,2014,35,82,54.169,13.569317
FSL,2010,20,37,27.8765,3.267107176
FSL,2011,6,25,15.3522,4.440500152
FSL,2012,6,15,9.9312,1.634434567
FSL,2014,22,43,33.4648,5.883447743
FTCPOF3YDV,2010,11,13,12,0.411693485
FTCPOF3YGR,2010,11,13,12.0652,0.384604479
FTCPOF5YDV,2010,10,13,11.3924,0.537639508
FTCPOF5YDV,2011,10,12,11,0.774596669
FTCPOF5YDV,2012,10,13,11.8333,0.763762616
FTCPOF5YGR,2010,11,14,12.5098,0.637782587
FTCPOF5YGR,2011,11,15,12.7407,0.885797092
FTCPOF5YGR,2012,13,15,13.75,0.661437828
FTCSF5YDIV,2010,11,12,11.3455,0.475516248
FTCSF5YDIV,2011,10,12,11.0928,0.408226595
FTCSF5YGRO,2010,11,14,12.3704,0.519839587
FTCSF5YGRO,2011,11,14,12.7949,0.704545214
FUTUREVENT,2011,8,10,8.9876,0.472703046
FUTUREVENT,2012,8,10,8.8178,0.645136333
GABRIEL,2010,30,71,52.3586,11.59710932
GABRIEL,2011,37,58,45.1943,4.459748938
GABRIEL,2012,23,61,36.6437,10.1472255
GABRIEL,2014,20,96,51.4648,24.96410436
GAEL,2010,16,50,27.7649,8.247933817
GAEL,2011,18,39,27.996,5.333795677
GAEL,2012,18,27,22.0081,2.096829886
GAEL,2014,26,66,42.4366,12.46486035
GAIL,2010,391,514,453.243,34.10962964
GAIL,2011,372,529,439.1903,29.99568503
GAIL,2012,310,397,358.2348,19.27033135
GAIL,2014,336,499,413.5282,46.18070655
GAL,2010,30,83,51.587,18.91235631
GAL,2011,8,31,15.4858,4.436552444
GAL,2012,9,18,13.0617,2.003451387
GAL,2014,24,56,37.1261,8.476907813
GALLANTT,2010,20,44,29.713,4.228682908
GALLANTT,2011,14,36,19.5789,4.091172746
GALLANTT,2012,17,30,22.4332,4.147409207
GALLANTT,2014,17,25,21.0211,2.287345192
GALLISPAT,2010,50,81,53.4655,4.410862443
GALLISPAT,2011,52,114,84.6103,14.6471259
GALLISPAT,2012,38,72,48.1345,8.847374742
GALLISPAT,2014,257,463,360.7042,62.50811651
GAMMNINFRA,2010,20,29,24.6932,1.905515674
GAMMNINFRA,2011,10,24,16.081,3.099157889
GAMMNINFRA,2012,12,18,13.7692,1.162584991
GAMMNINFRA,2014,7,19,11.9638,3.610390441
GAMMONIND,2010,160,269,211.0398,19.4653233
GAMMONIND,2011,41,178,93.9555,30.12527891
GAMMONIND,2012,36,61,44.2146,5.234434233
GAMMONIND,2014,12,40,24.7594,9.103540067
GANDHITUBE,2010,85,138,109.8082,15.75760052
GANDHITUBE,2011,96,129,117.7828,8.175555293
GANDHITUBE,2012,125,179,139.4037,12.98454923
GANDHITUBE,2014,120,230,166.5755,31.83387147
GANESHHOUC,2010,125,272,186.0558,35.71797561
GANESHHOUC,2011,87,220,135.166,22.61973936
GANESHHOUC,2012,61,135,88.5061,19.38108566
GANESHHOUC,2014,58,212,130.1056,43.16227287
GANGOTRI,2010,7,11,8.6215,0.659118767
GANGOTRI,2011,3,9,5.8879,1.369442069
GANGOTRI,2012,3,4,3.1655,0.37160206
GANGOTRI,2014,1,2,1.3846,0.486504255
GARDENSILK,2010,67,147,88.4183,21.07651359
GARDENSILK,2011,51,123,87.0891,17.04412474
GARDENSILK,2012,41,70,54.3806,6.937612886
GARDENSILK,2014,30,55,39.4859,4.765982623
GARWALLROP,2010,56,88,72.9283,7.752832451
GARWALLROP,2011,45,78,58.7814,6.893109372
GARWALLROP,2012,45,55,50.336,1.734514262
GARWALLROP,2014,55,181,112.1197,46.46859948
GARWOFFS,2010,115,226,153.6653,26.09039515
GARWOFFS,2011,107,151,121.5755,10.3804498
GATI,2010,53,86,66.6773,7.878272243
GATI,2011,24,76,55.8664,12.0838151
GATI,2012,29,46,36.251,2.886824213
GATI,2014,45,331,134.888,73.89161966
GAYAPROJ,2011,90,165,134.5227,19.08770265
GAYAPROJ,2012,91,181,114.6154,14.83791804
GAYAPROJ,2014,50,181,108.5455,47.12774972
GDL,2010,101,143,118.3825,10.21624417
GDL,2011,102,150,124.9433,11.38811201
GDL,2012,126,154,140.5789,7.203859325
GDL,2014,127,344,218.9577,63.12940803
GEECEE,2010,50,93,67.7,11.27662986
GEECEE,2011,29,53,37.5344,5.96123017
GEECEE,2012,30,50,43.418,2.483850012
GEECEE,2014,25,47,34.7464,6.145649568
GEINDSYS,2010,147,230,179.5306,20.39517954
GEINDSYS,2011,109,215,162.9231,26.4723168
GEINDSYS,2012,53,135,100.961,23.13714516
GEINDSYS,2014,21,37,27,3.421067626
GEMINI,2010,23,49,31.633,7.377249218
GEMINI,2011,17,28,21.8785,2.093324918
GEMINI,2012,6,27,15.7814,6.286092332
GEMINI,2014,1,3,1.9173,0.301502822
GENESYS,2010,187,428,271.2789,53.80533298
GENESYS,2011,122,282,207.6356,37.69992356
GENESYS,2012,124,228,170.8826,28.64480191
GENESYS,2014,51,85,67.4437,8.415716893
GENUSPOWER,2010,19,266,159.066,78.46231746
GENUSPOWER,2011,8,24,15.5668,3.051944209
GENUSPOWER,2012,8,14,10.0283,1.167719705
GENUSPOWER,2014,20,36,27.2857,3.717946914
GEODESIC,2010,76,146,110.2669,15.05224838
GEODESIC,2011,40,100,68.6235,15.02629056
GEODESIC,2012,22,63,43.4777,7.037674076
GEOJITBNPP,2010,31,43,35.255,2.640235166
GEOJITBNPP,2011,15,34,21.8826,3.879560861
GEOJITBNPP,2012,15,28,20.1822,2.749163744
GEOJITBNPP,2014,18,43,30.48,8.785988846
GEOMETRIC,2010,59,81,69.1235,4.933490443
GEOMETRIC,2011,37,84,54.7166,11.42554882
GEOMETRIC,2012,46,123,84.4291,20.16857199
GEOMETRIC,2014,90,157,125.4366,17.67845223
GESHIP,2010,261,389,310.4143,26.82679492
GESHIP,2011,187,349,261.834,32.33555058
GESHIP,2012,196,279,249.7652,12.10420019
GESHIP,2014,285,457,357.6549,39.57112437
GHCL,2010,41,54,47.7052,2.803088271
GHCL,2011,28,47,38.247,3.749188966
GHCL,2012,30,43,37.4049,2.720081395
GHCL,2014,33,106,58.9507,24.15744351
GICHSGFIN,2010,85,159,113.1673,23.98895597
GICHSGFIN,2011,69,122,98.6235,13.4817291
GICHSGFIN,2012,72,128,94.6478,13.75057691
GICHSGFIN,2014,95,196,144.1831,32.46940482
GILLANDERS,2010,103,183,145.0677,20.80988202
GILLANDERS,2011,60,116,95.8219,14.28146245
GILLANDERS,2012,58,84,67.8326,5.778449545
GILLANDERS,2014,54,81,65.9856,5.548978273
GILLETTE,2010,1271,1993,1662.9203,207.497539
GILLETTE,2011,1527,2295,1913.2267,192.8464526
GILLETTE,2012,1854,2611,2276.0729,177.1033995
GILLETTE,2014,1857,3504,2366.9718,496.7373685
GINNIFILA,2010,9,18,13.4721,2.376628576
GINNIFILA,2011,5,15,9.7247,2.749515491
GINNIFILA,2012,5,7,6.1608,0.430345609
GINNIFILA,2014,10,18,13.0513,2.434952583
GIPCL,2010,97,129,113.1594,5.70161978
GIPCL,2011,65,104,82.2389,7.734696758
GIPCL,2012,56,78,67.6275,3.519599716
GIPCL,2014,55,101,77.8732,14.09368011
GISOLUTION,2010,15,41,22.2663,4.394877878
GISOLUTION,2011,8,20,13.7202,2.643685596
GISOLUTION,2012,6,11,8.1026,1.150136487
GISOLUTION,2014,3,5,3.7115,0.566247379
GITANJALI,2010,95,381,172.7849,67.20517382
GITANJALI,2011,183,384,287.8947,52.25828347
GITANJALI,2012,297,532,354.6194,56.60732799
GITANJALI,2014,51,98,67.6831,10.19484109
GKB,2010,19,77,56.1327,7.944798996
GKB,2011,27,57,40.7523,5.602016423
GKB,2012,28,42,35.9805,3.241440474
GKB,2014,27,62,41.6786,9.034537849
GKWLIMITED,2010,309,668,524.3591,116.4633113
GKWLIMITED,2011,423,613,510.6953,50.62660435
GKWLIMITED,2012,390,491,409.3462,18.80136401
GKWLIMITED,2014,381,482,414.442,19.77555881
GLAXO,2010,1514,2361,1980.2749,231.8160078
GLAXO,2011,1840,2460,2172.8016,148.4853525
GLAXO,2012,1934,2317,2058.8907,78.66312247
GLAXO,2014,2376,3214,2691.4789,240.3439061
GLENMARK,2010,235,385,288.9243,36.18178768
GLENMARK,2011,251,368,306.7004,20.0272921
GLENMARK,2012,287,541,372.7126,57.65535573
GLENMARK,2014,501,823,634.1549,99.33364576
GLFL,2010,4,6,4.3782,0.660933852
GLFL,2011,2,5,3.574,0.537929713
GLFL,2012,2,4,2.7578,0.446270898
GLFL,2014,1,3,2,0.866025404
GLOBALVECT,2010,34,61,46.1289,5.317631803
GLOBALVECT,2011,14,37,23.313,5.183188261
GLOBALVECT,2012,8,19,11.4335,3.072083275
GLOBALVECT,2014,9,87,31.6122,23.01136926
GLOBOFFS,2011,63,128,92.7092,18.21796285
GLOBOFFS,2012,65,91,72.4696,4.099729559
GLOBOFFS,2014,98,624,397.64,166.5527856
GLOBUSSPR,2010,87,191,148.0598,28.40571905
GLOBUSSPR,2011,98,175,130.1862,17.89029018
GLOBUSSPR,2012,89,146,110.915,11.2956612
GLOBUSSPR,2014,63,91,77.2324,5.25767781
GLODYNE,2010,475,1279,805.2908,211.7356257
GLODYNE,2011,210,744,377.6761,114.0016707
GLODYNE,2012,25,428,226.1822,144.8420444
GLODYNE,2014,3,11,6.4595,1.858914649
GLORY,2010,6,28,17.1315,5.571219925
GLORY,2011,3,8,4.0622,1.19423027
GLORY,2012,2,4,2.9271,0.425351767
GLORY,2014,1,1,1,0
GMBREW,2010,68,105,83.5337,9.302741457
GMBREW,2011,55,129,96.5911,16.70216602
GMBREW,2012,59,98,75.0857,6.514411026
GMBREW,2014,81,167,111.6972,17.69816949
GMDCLTD,2010,110,178,135.9044,12.53643378
GMDCLTD,2011,104,191,152.17,21.37849181
GMDCLTD,2012,160,218,189.9514,13.46331302
GMDCLTD,2014,102,173,137.5704,18.48653788
GMRFER,2010,33,52,39.8317,4.650283302
GMRINDS,2010,99,160,117.6242,10.84957841
